Conductivity,Cu,Cu-327nm_predict,Ni-232nm_predict,Zn-214nm_predict,Pb-406nm_predict
3500,20,16928.87126,4200.449613,42759.05954,28258.8759
3500,20,17964.22072,4477.103512,41287.06655,26963.40398
3500,20,17829.66263,4991.428476,43972.63115,28657.51355
3500,20,17542.86064,4521.840342,41905.95078,26960.33683
3500,20,18197.82579,4726.542289,41940.08209,26096.49422
3500,20,17681.01161,4370.381012,39863.76994,26775.94339
3500,20,17254.3087,4349.07006,41879.6479,26361.15505
3500,20,17357.66353,4277.12253,41854.82549,26907.43017
3500,20,18002.63892,4524.907765,42467.40682,26818.15091
3500,20,18211.64148,4764.002304,42271.94386,27082.37684
3500,20,17306.16702,4428.858449,42744.74159,25651.0631
3500,20,18943.22765,5298.240483,41176.96737,25139.5094
3500,20,18954.61204,5315.517553,41964.70364,25213.95105
3500,20,17714.83881,4610.744455,42167.0621,26189.21218
3500,20,18076.31691,4970.798351,42382.99061,25216.15658
3500,20,17297.51152,4578.694361,43381.64552,25573.66859
3500,20,17949.95294,4684.109971,41273.16711,26229.55737
4000,0,6397.829021,251.0912683,2235.078135,928.0482333
4000,0,6055.456006,238.7326995,2663.036614,945.7181934
4000,0,6114.857762,164.1301957,2227.008847,897.9275422
4000,0,6328.843453,227.3358756,2150.336061,796.2301171
4000,0,6182.545792,91.0865524,1988.953926,760.9541747
4000,0,5968.257226,233.4843233,2409.783085,860.8176551
4000,0,5876.111196,160.3355736,2389.785589,828.2753344
4000,0,5970.046413,124.9019491,2059.890559,806.719142
4000,0,6035.066969,260.2573316,2318.160056,726.8787273
4000,0,5523.885334,136.855592,2316.681624,984.9387172
4000,0,5994.768183,-16.99278082,2276.888408,957.7936694
4000,0,6035.06706,205.7146626,2521.338207,1078.945703
4000,0,5887.391369,112.2962964,2421.506273,1101.267006
4000,0,5806.453189,242.000532,2663.440257,973.6871704
4000,0,5731.932022,59.40807652,2863.60613,1085.749212
4000,0,5943.263187,108.1488923,2437.926574,1003.818874
4000,0,5540.665646,161.2966587,2387.905836,953.5552573
4000,0,5740.490849,146.2093165,2482.002071,998.8037297
4000,0,5683.599644,127.7443865,2760.240278,850.4015366
4000,0,5571.484326,185.4302025,2549.491731,1028.552436
4000,0,5656.325434,153.9677661,2498.728569,867.7874573
4000,0,5998.948045,99.06623875,2789.738618,1029.128198
4000,0,5628.627112,5.272455825,2397.186875,904.6523059
4000,0,5831.698419,50.29638614,2408.398631,949.5530096
4000,0,5837.962312,2.919520463,2624.18505,928.967751
4000,0,5752.154087,106.3282959,2648.958265,930.0815004
4000,0,5746.300326,128.0516607,2840.260644,911.8341853
4000,0,5712.165188,31.42481888,2415.116263,925.2275078
4000,0,5899.617969,164.4251482,2766.467474,958.9381521
4000,0,5664.700789,57.21719715,2479.65129,858.3782717
4000,5,8651.546842,868.8263763,22120.7593,12081.03632
4000,5,8358.364071,792.9794047,22808.77587,11703.28076
4000,5,8220.535346,927.7782011,21590.05625,11837.53986
4000,5,7996.302772,960.8605832,22142.39476,12021.86681
4000,5,8114.695578,773.4696198,21277.71668,11888.5978
4000,5,8309.908915,1036.784685,22247.75791,12479.07254
4000,5,8217.375844,954.2978584,21761.41834,12072.13283
4000,5,8291.98248,920.4962788,20969.75639,10780.83645
4000,5,8279.256931,1006.65343,21797.0811,12244.06662
4000,5,8305.348285,859.6653298,20990.13344,10837.51941
4000,5,8178.8603,999.6966309,21329.95512,11749.5712
4000,5,8050.287051,878.2595692,21484.11963,11439.16092
4000,5,8069.686678,946.0064067,22129.57241,10588.93946
4000,5,7853.906136,699.5744481,22812.48341,11185.0818
4000,5,7908.540727,782.582775,21662.19376,11552.70419
4000,5,7622.819353,921.6305323,21624.89999,11278.28506
4000,5,8330.025039,918.277815,21448.93371,11040.87625
4000,5,8141.830458,993.7559309,21508.89619,10816.74311
4000,5,7801.062526,771.7878475,20897.32647,11148.85142
4000,5,7575.848329,1020.896474,20746.65647,10732.0188
4000,5,8296.670469,979.565097,21560.08482,11130.006
4000,5,8260.237187,910.2059718,21475.6803,10656.24641
4000,5,8132.075889,1001.039689,20126.3653,10772.78163
4000,5,8052.60828,898.5409293,21710.76187,10677.27646
4000,5,8365.353157,833.1646848,20696.85541,10968.1532
4000,5,7732.452592,866.9182049,20919.5311,11016.29338
4000,5,8045.06515,921.6849235,21090.91643,10411.59857
4000,5,8120.477662,901.8337516,21468.92113,10390.75979
4000,5,8374.71205,1023.836978,20997.55438,11092.54353
